disease,z_score,separation,n_genes,p_value,p_adj_fdr,p_adj_bonf,sig_fdr,relationship
otosclerosis,2.2043927887619423,0.42835167554997877,26,0.0278,0.047224358974358976,1.0,*,Separated
pneumonia,2.2048229312700567,0.31999239874947993,63,0.0264,0.045135483870967746,1.0,*,Separated
cirrhosis of liver,2.2362286473045505,0.23894897538232351,98,0.0248,0.04267532467532467,1.0,*,Separated
asthma,2.2430426718724052,0.031157070062157732,439,0.0243,0.04208823529411765,1.0,*,Separated
macular degeneration,2.30451875407614,0.32334141940040473,57,0.0202,0.035450331125827815,1.0,*,Separated
varicose disease,2.3069263136579976,0.2298349640999322,104,0.0218,0.03800657894736842,1.0,*,Separated
psoriatic arthritis,2.3176221612438432,0.45917457419967356,33,0.0201,0.035450331125827815,1.0,*,Separated
motion sickness,2.3228902645639646,0.42492535417063704,22,0.0169,0.030260135135135133,1.0,*,Separated
mitral valve prolapse,2.334803995884591,0.49142367066895365,22,0.0188,0.03343624161073826,1.0,*,Separated
oligodendroglioma,2.392352765068797,0.4568460223476294,20,0.0169,0.030260135135135133,1.0,*,Separated
plasma cell myeloma,2.410409764733038,0.4125736028263485,40,0.0145,0.026500000000000003,1.0,*,Separated
osteoporosis,2.4316022695191837,0.39505860570987883,36,0.0142,0.026131944444444447,1.0,*,Separated
primary biliary cholangitis,2.470973826982043,0.26400722045250347,84,0.0147,0.026681506849315067,1.0,*,Separated
fatty liver disease,2.474862967114451,0.4632682162546622,29,0.0141,0.026129370629370628,1.0,*,Separated
alcohol abuse,2.497366206602074,0.3957056754085293,36,0.0136,0.025380281690140845,1.0,*,Separated
skin carcinoma,2.5069793649810586,0.2446789488408121,101,0.0116,0.02180141843971631,1.0,*,Separated
brain disorder,2.5525705414970634,-0.07180870077115475,2597,0.0115,0.021767857142857144,1.0,*,Separated
nicotine dependence,2.562941151444821,0.27140417305361697,87,0.0089,0.017341911764705883,1.0,*,Separated
interstitial lung disease,2.5733666667366206,0.3610634648370499,53,0.0101,0.019255395683453237,1.0,*,Separated
anxiety disorder,2.580303707922904,0.15250749367798777,181,0.0096,0.01843478260869565,1.0,*,Separated
dyslexia,2.5851682533475495,0.38566647181474,40,0.0096,0.01843478260869565,1.0,*,Separated
genetic generalized epilepsy,2.6326591559784913,0.4520074351085437,27,0.0068,0.013755725190839695,1.0,*,Separated
malaria,2.6387275767831935,0.44648538747563693,26,0.0065,0.01325,1.0,*,Separated
post-traumatic stress disorder,2.6450324421655016,0.22068656743006865,115,0.0077,0.015227611940298508,1.0,*,Separated
nephrolithiasis,2.6569100647748924,0.44279186768932455,30,0.0077,0.015227611940298508,1.0,*,Separated
acne,2.6923826398591775,0.3494559673196713,50,0.0086,0.01688148148148148,1.0,*,Separated
membranous glomerulonephritis,2.7121739907250237,0.4572873451976156,25,0.0064,0.01325,1.0,*,Separated
rheumatoid arthritis,2.7212456607205127,0.09680064363103669,288,0.0071,0.01425378787878788,1.0,*,Separated
dermatitis,2.7270685576468847,-0.015105825421227292,752,0.0056,0.011871999999999999,1.0,*,Separated
sarcoma,2.732535035781336,0.5284376390683128,25,0.006,0.01251968503937008,1.0,*,Separated
skin cancer,2.742194469702481,0.20632050223245213,130,0.006,0.01251968503937008,1.0,*,Separated
depressive disorder,2.7628084277437805,0.04276047652173909,381,0.0065,0.01325,1.0,*,Separated
breast cancer,2.812757953909884,0.06473563210117317,343,0.0041,0.008833333333333334,1.0,**,Separated
generalized epilepsy,2.8283768745596647,0.4328449168440198,31,0.0033,0.0074110169491525425,0.8744999999999999,**,Separated
spondyloarthropathy,2.8769913630900623,0.45834067530599176,27,0.0041,0.008833333333333334,1.0,**,Separated
dilated cardiomyopathy,2.879780193763887,0.5015246807699638,22,0.0035,0.007794117647058824,0.9275,**,Separated
chronic kidney disease,2.8826337267517825,0.3066167973317808,73,0.0036,0.007884297520661157,0.954,**,Separated
epilepsy,2.8925319938185488,0.19213184592066823,178,0.0042,0.008975806451612903,1.0,**,Separated
ankylosing spondylitis,2.9286727150081977,0.45834067530599176,27,0.0036,0.007884297520661157,0.954,**,Separated
childhood onset asthma,2.9360395066988643,0.4644113205399507,32,0.0025,0.005760869565217391,0.6625,**,Separated
bone fracture,2.947161835692078,0.4383021082095302,31,0.0024,0.005578947368421052,0.6359999999999999,**,Separated
ectodermal dysplasia syndrome,3.0045912497219196,0.40411368864109676,48,0.0024,0.005578947368421052,0.6359999999999999,**,Separated
lissencephaly spectrum disorders,3.0491007159838617,0.6005644034606139,20,0.0032,0.007247863247863248,0.8480000000000001,**,Separated
cholestasis,3.0795269433537626,0.4995581843433803,23,0.0018,0.004457943925233645,0.477,**,Separated
adolescent idiopathic scoliosis,3.0947589938451707,-0.00572305320588784,652,0.0021,0.005059090909090909,0.5565,**,Separated
basal cell carcinoma,3.1054554865822612,0.18088258398266377,169,0.0012,0.003148514851485148,0.31799999999999995,**,Separated
arthritic joint disease,3.11078493567604,0.031977887827590035,487,0.0024,0.005578947368421052,0.6359999999999999,**,Separated
scoliosis,3.1144376698359126,-0.00572305320588784,652,0.0017,0.004331730769230769,0.45049999999999996,**,Separated
abdominal aortic aneurysm,3.1178668213243768,0.21240999777468383,134,0.0018,0.004457943925233645,0.477,**,Separated
chronic primary adrenal insufficiency,3.118236387595219,0.5219108751241448,21,0.0014,0.003637254901960784,0.371,**,Separated
celiac disease,3.1333243017347403,0.34922751331541146,59,0.0023,0.005490990990990991,0.6095,**,Separated
cardiac rhythm disease,3.1402941980729744,-0.01117965801963372,749,0.0018,0.004457943925233645,0.477,**,Separated
Achoo syndrome,3.1436784908525177,0.4984342775117754,26,0.0028,0.0063965517241379305,0.742,**,Separated
multiple sclerosis,3.1731647330060646,0.1402367982448458,232,0.0019,0.004662037037037037,0.5035,**,Separated
vitiligo,3.1800951981799437,0.35306294672470573,69,0.002,0.004862385321100917,0.53,**,Separated
gout,3.1892767500364654,0.056805818762795335,384,0.0009,0.002564516129032258,0.2385,**,Separated
hemolytic anemia,3.2007060485610928,0.5423139445491774,28,0.0012,0.003148514851485148,0.31799999999999995,**,Separated
autoinflammatory syndrome,3.2258224403092797,0.29811111903687126,89,0.0012,0.003148514851485148,0.31799999999999995,**,Separated
idiopathic membranous glomerulonephritis,3.2419640049090543,0.5006287312640731,21,0.0011,0.003005154639175258,0.29150000000000004,**,Separated
systemic lupus erythematosus,3.2508882195323205,0.10882164486304435,276,0.0007,0.0020384615384615385,0.1855,**,Separated
glaucoma,3.2589766539072693,0.2564450249760224,108,0.001,0.0027894736842105266,0.265,**,Separated
substance dependence,3.2786498796234516,0.2564854789394233,104,0.001,0.0027894736842105266,0.265,**,Separated
aortic aneurysm,3.308794108364896,0.20861824080470037,143,0.0012,0.003148514851485148,0.31799999999999995,**,Separated
coronary artery disorder,3.3455954344990526,0.03358202240192276,510,0.0006,0.0017865168539325843,0.15899999999999997,**,Separated
mood disorder,3.368580364797713,0.02849367968990446,480,0.0007,0.0020384615384615385,0.1855,**,Separated
stutter disorder,3.3875325431240824,0.5157930109607876,21,0.0008,0.0023043478260869566,0.21200000000000002,**,Separated
brain aneurysm,3.406919474587167,0.38990893620624223,45,0.0015,0.003859223300970874,0.3975,**,Separated
polyp of large intestine,3.4516240495365573,0.4394359030848558,33,0.0005,0.0015056818181818183,0.1325,**,Separated
atrial fibrillation,3.481318206845612,-0.0030847516554886045,714,0.0005,0.0015056818181818183,0.1325,**,Separated
hypothyroidism,3.487218260305698,0.12350754096021332,279,0.0004,0.0012325581395348838,0.10600000000000001,**,Separated
squamous cell carcinoma,3.50578652305996,0.291774807969426,97,0.0003,0.0009578313253012047,0.07949999999999999,***,Separated
polyp of colon,3.5077386407905284,0.4498558113579809,32,0.0003,0.0009578313253012047,0.07949999999999999,***,Separated
pancreatitis,3.571147693423749,0.49308581077406766,23,0.0011,0.003005154639175258,0.29150000000000004,**,Separated
thyroid cancer,3.642877578461943,0.576449732297039,20,0.0002,0.0006543209876543211,0.053000000000000005,***,Separated
idiopathic pulmonary fibrosis,3.7397279225161615,0.48613366579492223,36,0.0002,0.0006543209876543211,0.053000000000000005,***,Separated
cardiovascular disorder,3.7599326834604003,0.10220240887633691,288,0.0004,0.0012325581395348838,0.10600000000000001,**,Separated
cardiomyopathy,3.7681784737171005,0.23477735267962285,145,0.0,0.0,0.0,***,Separated
heart failure,3.7805038286939836,0.1556416092477826,205,0.0,0.0,0.0,***,Separated
insomnia,3.796799908711149,-0.019824662907781176,926,0.0,0.0,0.0,***,Separated
sclerosing cholangitis,3.798056134127744,0.5321411319597709,20,0.0001,0.0003441558441558442,0.026500000000000003,***,Separated
type 2 diabetes mellitus,3.8055855793503417,-0.04501625158282008,1526,0.0004,0.0012325581395348838,0.10600000000000001,**,Separated
hypertensive disorder,3.8181049851296933,0.09219554030874777,318,0.0,0.0,0.0,***,Separated
psoriasis,3.8582114393105997,0.09794251033613821,321,0.0,0.0,0.0,***,Separated
vitamin D deficiency,3.863620296662434,0.4333281564586309,36,0.0001,0.0003441558441558442,0.026500000000000003,***,Separated
abdominal obesity-metabolic syndrome,3.9753360151894097,-0.031078826833543793,1144,0.0,0.0,0.0,***,Separated
prostate cancer,3.982757812719533,0.0461279377850341,478,0.0001,0.0003441558441558442,0.026500000000000003,***,Separated
diabetes mellitus,4.000448211306165,-0.04803654888181352,1664,0.0001,0.0003441558441558442,0.026500000000000003,***,Separated
spinal muscular atrophy,4.106516208948683,0.6396453478113728,20,0.0002,0.0006543209876543211,0.053000000000000005,***,Separated
refractive error,4.129742437745267,0.0443505812045597,444,0.0002,0.0006543209876543211,0.053000000000000005,***,Separated
adrenocortical insufficiency,4.148719472284456,0.5700778025830411,23,0.0,0.0,0.0,***,Separated
allergic disease,4.186760474017056,0.057955111483783295,426,0.0001,0.0003441558441558442,0.026500000000000003,***,Separated
keratosis,4.204848253712312,0.5171395450086811,33,0.0,0.0,0.0,***,Separated
autism spectrum disorder,4.216499509476089,0.6160858660977875,21,0.0001,0.0003441558441558442,0.026500000000000003,***,Separated
hypogonadism,4.242305151484837,0.26595062450594864,107,0.0,0.0,0.0,***,Separated
hemorrhagic disease,4.250325202723975,0.4592929978098039,42,0.0,0.0,0.0,***,Separated
inborn mitochondrial myopathy,4.2801614092059745,0.67843118254999,20,0.0001,0.0003441558441558442,0.026500000000000003,***,Separated
herpes zoster,4.292499132150123,0.5491797150414459,23,0.0,0.0,0.0,***,Separated
severe combined immunodeficiency,4.298155520157455,0.5814763715912195,30,0.0001,0.0003441558441558442,0.026500000000000003,***,Separated
nephrotic syndrome,4.412156776422435,0.5428328319774438,26,0.0,0.0,0.0,***,Separated
aortic valve stenosis,4.491086264622236,0.30804604237856803,93,0.0,0.0,0.0,***,Separated
anemia,4.491845467368666,0.3327139941021342,108,0.0,0.0,0.0,***,Separated
attention deficit-hyperactivity disorder,4.5075781939689366,0.40741401541370914,51,0.0,0.0,0.0,***,Separated
myopia,4.59570616267093,0.3307287921284159,78,0.0,0.0,0.0,***,Separated
squamous cell lung carcinoma,4.599566869702916,0.4512424786367073,46,0.0,0.0,0.0,***,Separated
Brugada syndrome,4.61426276083866,0.5599916186338867,28,0.0001,0.0003441558441558442,0.026500000000000003,***,Separated
peripheral neuropathy,4.618840957064318,0.19394832213398017,201,0.0,0.0,0.0,***,Separated
disorder of glycogen metabolism,4.675652358527585,0.6857246058214908,20,0.0,0.0,0.0,***,Separated
syndactyly,4.706674345236946,0.6678072365128904,20,0.0,0.0,0.0,***,Separated
intellectual disability,4.707335403544884,0.2790121504956271,141,0.0,0.0,0.0,***,Separated
craniosynostosis,4.744664632345543,0.5952218540137366,25,0.0,0.0,0.0,***,Separated
skeletal dysplasia,4.764104279871149,0.1254844295215718,329,0.0,0.0,0.0,***,Separated
autosomal dominant cerebellar ataxia,4.782529667803796,0.45487342102734996,60,0.0,0.0,0.0,***,Separated
hearing loss disorder,4.8098552883385,0.16180057678061743,202,0.0,0.0,0.0,***,Separated
retinal arterial tortuosity,4.838011135777367,0.36667531527543695,74,0.0,0.0,0.0,***,Separated
palmoplantar keratosis,4.849166609503038,0.5792467171876525,30,0.0,0.0,0.0,***,Separated
polydactyly,4.984268754306453,0.6304863376409406,25,0.0,0.0,0.0,***,Separated
atopic eczema,4.9879853743954055,0.09642121098023027,347,0.0,0.0,0.0,***,Separated
testicular germ cell tumor,5.055077524126173,0.44350809158028204,53,0.0,0.0,0.0,***,Separated
myopathy,5.057635700064535,0.26298242043986586,149,0.0,0.0,0.0,***,Separated
cerebellar ataxia,5.057728011361537,0.36460930218339693,95,0.0,0.0,0.0,***,Separated
neoplasm of testis,5.345397393009995,0.4496546288999119,55,0.0,0.0,0.0,***,Separated
combined immunodeficiency,5.395411157925313,0.5443162326524247,44,0.0,0.0,0.0,***,Separated
microcephaly,5.4349867776501855,0.7641509433962264,22,0.0,0.0,0.0,***,Separated
neuromuscular disease,5.4397519398230765,0.1267441230093691,339,0.0,0.0,0.0,***,Separated
melanoma,5.558771207225192,0.4575706471791263,59,0.0,0.0,0.0,***,Separated
schizophrenia,5.56095397885248,0.033925918169616986,599,0.0,0.0,0.0,***,Separated
hereditary spastic paraplegia,5.71992219267997,0.6093614770617686,31,0.0,0.0,0.0,***,Separated
leukodystrophy,5.781239440711669,0.4387105540422669,72,0.0,0.0,0.0,***,Separated
long QT syndrome,5.785905975136185,0.6635492263948468,20,0.0,0.0,0.0,***,Separated
osteogenesis imperfecta,5.834364330487393,0.43026400942792553,63,0.0,0.0,0.0,***,Separated
cholelithiasis,5.852999730105067,0.3958957813195543,69,0.0,0.0,0.0,***,Separated
Ehlers-Danlos syndrome,5.857174091875947,0.7248055501722497,20,0.0,0.0,0.0,***,Separated
congenital heart disease,5.910182277322444,0.5336592808360205,38,0.0,0.0,0.0,***,Separated
spondyloepiphyseal dysplasia,5.947707615512214,0.6315654081261273,26,0.0,0.0,0.0,***,Separated
atactic disorder,6.057073568158244,0.3515064059161628,114,0.0,0.0,0.0,***,Separated
neurodevelopmental disorder,6.169623156349523,0.15276965489685934,333,0.0,0.0,0.0,***,Separated
Charcot-Marie-Tooth disease,6.274273074894936,0.5069588034172012,54,0.0,0.0,0.0,***,Separated
microphthalmia,6.321471170951508,0.6124397134497024,34,0.0,0.0,0.0,***,Separated
immunodeficiency disease,6.504296800450369,0.33855026895474816,128,0.0,0.0,0.0,***,Separated
obesity disorder,6.527548446824593,0.5140577224252367,53,0.0,0.0,0.0,***,Separated
aplastic anemia,6.593073826712035,0.5706247393088544,51,0.0,0.0,0.0,***,Separated
muscular dystrophy,6.700790583209097,0.5668493563862311,41,0.0,0.0,0.0,***,Separated
pontocerebellar hypoplasia,6.732974430830733,0.748840273673792,24,0.0,0.0,0.0,***,Separated
osteochondrodysplasia,6.851217216433242,0.3127344733166053,131,0.0,0.0,0.0,***,Separated
Fanconi anemia,6.981829377771138,0.8482437671689154,21,0.0,0.0,0.0,***,Separated
inherited retinal dystrophy,7.083247158629457,0.23660596603896433,172,0.0,0.0,0.0,***,Separated
retinal degeneration,7.120012964124464,0.22630226006029686,183,0.0,0.0,0.0,***,Separated
inherited lipid metabolism disorder,7.296189483593174,0.3503980296433127,121,0.0,0.0,0.0,***,Separated
"mitochondrial complex IV deficiency, nuclear-type",7.423696476382564,0.8582794118923172,20,0.0,0.0,0.0,***,Separated
ichthyosis,7.721597645242651,0.6937394708108409,30,0.0,0.0,0.0,***,Separated
cone-rod dystrophy,8.056739705218813,0.7471538986813331,23,0.0,0.0,0.0,***,Separated
male infertility,10.223896465707485,0.6050836184693373,59,0.0,0.0,0.0,***,Separated
spermatogenic failure,10.256248262893669,0.6232838317844338,56,0.0,0.0,0.0,***,Separated
retinitis pigmentosa,10.57098022536476,0.47678916899176915,82,0.0,0.0,0.0,***,Separated
congenital disorder of glycosylation,11.444495082149338,0.5685279743861604,74,0.0,0.0,0.0,***,Separated
mitochondrial complex I deficiency,11.480712071765613,0.8171245699359377,37,0.0,0.0,0.0,***,Separated
